hero,lane,role,damage_type,tags,alt_lanes
不知火舞,中路,法刺,法术,爆发;突进;控制;收割;切后排
东皇太一,游走,辅助,法术,强开;压制;前期;反打;坦度
云缨,打野,战士,物理,突进;收割;持续输出;团战;节奏,对抗路
亚连,对抗路,战士,混伤,持续输出;切后排;免伤;团战;单带,打野
伽罗,发育路,射手,物理,后期;持续输出;长手;推塔;怕切
元歌,对抗路,刺客,物理,操作;消耗;单带;切后排;控制
元流之子(坦克),对抗路,坦克,物理,坦度;开团;承伤;控制;前排
元流之子(射手),发育路,射手,物理,持续输出;后期;推塔;长手;发育
元流之子(辅助),游走,辅助,法术,保护;控制;开团;团队增益;视野
公孙离,发育路,射手,物理,位移;拉扯;持续输出;操作;推塔
兰陵王,打野,刺客,物理,隐身;前期;抓单;切后排;节奏,游走
关羽,对抗路,战士,物理,绕后;开团;切后排;控制;支援,游走
刘邦,对抗路,坦克,法术,支援;保护;单带;坦度;全球流,游走
司空震,对抗路,战士,法术,持续输出;压线;团战;法术核心;中期,打野
后羿,发育路,射手,物理,后期;持续输出;开团;推塔;怕切
吕布,对抗路,战士,真实伤害,前排;真实伤害;团战;开团;后期
哪吒,对抗路,战士,物理,强开;切后排;全图支援;限制回复;冲阵,打野
墨子,中路,法师,法术,消耗;控制;远程;保护;poke
夏侯惇,对抗路,坦克,物理,坦度;控制;开团;承伤;前排,打野;游走
夏洛特,对抗路,战士,物理,减攻速;拉扯;单带;持续输出;抗压
大乔,游走,辅助,法术,运营;转线;保护;体系;拉扯
大司命,打野,战士,物理,持续输出;收割;突进;团战;节奏,对抗路
大禹,对抗路,战士,物理,控制;开团;承伤;团战;前排
太乙真人,游走,辅助,法术,保护;复活;经济;开团;容错
女娲,中路,法师,法术,远程;支援;消耗;控制;后期
姜子牙,中路,法师,法术,消耗;减抗;团队增益;清线;推进
姬小满,对抗路,战士,物理,突进;控制;切后排;团战;操作,打野
娜可露露,打野,刺客,物理,爆发;切后排;收割;中期;节奏
嫦娥,中路,法坦,法术,坦度;持续输出;蓝量;前中期;反打,打野
嬴政,中路,法师,法术,清线;消耗;推进;远程;守塔
